Zusatz
FC
1. FC
SV
SC
FSV
TSV
VfB
VfL
VfR
MSV
SSV
SpVgg
SG
TSG
TuS
DSC
BSV
KFC
Borussia
Eintracht
Fortuna
Viktoria
Kickers
Rot-Weiss
Blau-Weiß
Schwarz-Weiß
Wacker
Germania
Teutonia
Concordia
